Project_ID,Project_Name,Department_ID,Start_Date,End_Date,Budget
P001,Voyager Customer 360,D10,17/09/2024,6/18/2025,3900755
P002,Lagaan Automation,D04,4/3/2020,Ongoing,573079
P003,Matrix Migration,D10,14/10/2022,Ongoing,2235676
P004,Nimbus Pricing Engine,D05,17/07/2020,Ongoing,1397165
P005,Trident Talent Suite,D08,10/12/2019,11/21/2020,3652981
P006,Zenith Dashboard,D09,20/10/2023,Ongoing,4773615
P007,Veda Migration,D01,27/08/2019,7/30/2020,3416397
P008,Karma Market Expansion,D07,7/10/2021,12/29/2022,1481835
P009,Matrix Payment Gateway,D02,4/7/2019,Ongoing,4237609
P010,Voyager Dashboard,D10,22/03/2021,5/21/2022,1454940
P011,Synergy Vendor Portal,D01,4/9/2020,Ongoing,1698061
P012,Falcon AI Pilot,D10,10/8/2023,Ongoing,2823985
P013,Lotus Cloud Re-arch,D09,25/02/2019,Ongoing,1747880
P014,Aurora CRM Revamp,D06,4/5/2021,Ongoing,1862617
P015,Neptune Automation,D07,28/12/2023,Ongoing,1553580
P016,Matrix Vendor Portal,D05,24/02/2018,Ongoing,2554321
P017,Orion AI Pilot,D10,16/11/2024,Ongoing,3953796
P018,Veda CRM Revamp,D07,28/02/2023,Ongoing,1537140
P019,Aurora Vendor Portal,D05,22/07/2020,Ongoing,2116419
P020,Quantum ERP Upgrade,D06,26/12/2018,11/14/2020,1390648
P021,Matrix Customer 360,D08,9/11/2021,6/21/2023,678475
P022,Lotus Customer 360,D09,17/10/2021,Ongoing,2895661
P023,Nimbus Payroll System,D07,27/10/2018,Ongoing,4227303
P024,Neptune Mobile App,D02,12/4/2018,3/20/2020,3966948
P025,Saffron CRM Revamp,D07,26/11/2020,6/10/2022,4286491
P026,Lagaan CRM Revamp,D10,24/11/2021,Ongoing,3590007
P027,Prism Customer 360,D01,21/01/2019,Ongoing,550151
P028,Zenith Market Expansion,D02,24/01/2024,1/7/2025,3154981
P029,Orion Supply Chain,D06,15/05/2019,Ongoing,572847
P030,Trident Payment Gateway,D06,7/3/2024,12/17/2025,3339611
P031,Saffron Supply Chain,D06,28/03/2024,9/25/2024,2808963
P032,Orion Payroll System,D06,26/12/2022,Ongoing,3523946
P033,Astra Compliance,D04,3/12/2018,Ongoing,993570
P034,Lotus Security Hardening,D06,25/03/2023,3/20/2024,1476446
P035,Orion Talent Suite,D08,12/8/2024,Ongoing,4383755
P036,Astra ERP Upgrade,D03,19/04/2018,12/18/2019,3995652
P037,Zenith Analytics Rollout,D09,13/03/2022,Ongoing,1192101
P038,Prism Data Lake,D02,20/12/2018,Ongoing,4065842
P039,Aurora Migration,D07,18/06/2023,1/30/2024,599919
P040,Synergy Compliance,D07,3/10/2022,8/19/2023,4020726
P041,Nimbus AI Pilot,D08,22/03/2022,Ongoing,1765322
P042,Falcon AI Pilot,D01,8/12/2024,10/25/2025,3839748
P043,Prism Migration,D08,8/5/2018,Ongoing,4231784
P044,Falcon Cloud Re-arch,D10,18/09/2021,Ongoing,4044450
P045,Veda Automation,D04,19/09/2024,7/24/2025,3200030
P046,Orion Payment Gateway,D05,12/6/2021,Ongoing,2348523
P047,Astra Analytics Rollout,D04,23/02/2020,1/30/2021,1897931
P048,Neptune Migration,D09,23/09/2018,11/8/2019,931838
P049,Lotus AI Pilot,D02,23/06/2023,Ongoing,2351608
P050,Matrix Cloud Re-arch,D09,27/10/2020,4/18/2022,2487881
P051,Neptune Market Expansion,D08,1/3/2018,12/23/2019,2208365
P052,Orion Security Hardening,D01,5/12/2024,2/24/2025,1159966
P053,Neptune Payment Gateway,D05,23/01/2023,7/7/2024,4284396
P054,Saffron Dashboard,D03,10/8/2023,9/14/2024,4634129
P055,Matrix Customer 360,D06,14/09/2024,6/28/2025,4850851
P056,Lotus CRM Revamp,D01,19/06/2023,11/28/2023,1700761
P057,Quantum Vendor Portal,D10,6/12/2021,Ongoing,4321099
P058,Lotus Automation,D04,1/3/2024,Ongoing,4750050
P059,Synergy Talent Suite,D08,13/02/2018,6/14/2019,4555235
P060,Saffron Security Hardening,D07,6/6/2019,9/1/2020,4343941
P061,Veda Payment Gateway,D03,6/2/2021,11/28/2021,2765545
P062,Orion Data Lake,D04,25/08/2020,8/13/2021,1093167
P063,Lotus CRM Revamp,D01,22/01/2022,10/11/2022,2270358
P064,Lagaan ERP Upgrade,D01,13/06/2018,4/14/2020,1148843
P065,Orion Data Lake,D10,21/04/2019,Ongoing,4001174
P066,Mercury Dashboard,D03,28/02/2020,Ongoing,1408840
P067,Lotus Supply Chain,D03,15/03/2022,Ongoing,1290023
P068,Lagaan Migration,D03,1/8/2024,Ongoing,3662466
P069,Synergy Compliance,D09,12/2/2020,Ongoing,1682279
P070,Lagaan Automation,D10,7/8/2018,Ongoing,2221841
P071,Astra Cloud Re-arch,D10,27/09/2023,3/28/2025,2091920
P072,Mercury Data Lake,D02,12/4/2020,11/25/2021,4410762
P073,Saffron CRM Revamp,D04,16/01/2020,Ongoing,4224434
P074,Synergy Vendor Portal,D10,21/11/2018,8/11/2020,1323622
P075,Neptune Analytics Rollout,D10,25/07/2022,5/16/2023,526014
P076,Astra Migration,D05,10/4/2021,Ongoing,3643889
P077,Saffron Market Expansion,D07,16/02/2021,8/31/2021,2276935
P078,Mercury Security Hardening,D06,10/7/2022,7/29/2023,4409005
P079,Lagaan CRM Revamp,D01,10/2/2019,Ongoing,4875654
P080,Mercury Automation,D10,24/06/2023,10/20/2023,3385364
P081,Zenith Pricing Engine,D01,18/06/2019,12/3/2020,984859
P082,Lagaan Automation,D09,22/06/2022,Ongoing,1214618
P083,Synergy Cloud Re-arch,D04,23/04/2019,2/15/2020,542192
P084,Prism Customer 360,D08,1/10/2023,1/23/2025,1391307
P085,Synergy Compliance,D04,22/04/2018,Ongoing,1508008
P086,Karma Pricing Engine,D06,12/4/2024,Ongoing,1909849
P087,Nimbus Migration,D07,8/10/2019,Ongoing,543923
P088,Veda Customer 360,D05,10/11/2023,11/13/2024,2162060
P089,Apollo Market Expansion,D07,13/07/2024,4/23/2025,4029619
P090,Aurora Payroll System,D08,23/11/2018,5/25/2020,3349896
P091,Matrix Data Lake,D03,4/2/2023,9/16/2024,3192468
P092,Karma Analytics Rollout,D02,24/03/2020,8/3/2021,1447226
P093,Mercury Compliance,D05,9/10/2020,5/9/2021,1266751
P094,Prism Data Lake,D07,7/8/2022,12/11/2022,2563632
P095,Falcon Mobile App,D08,2/4/2018,Ongoing,3476760
P096,Quantum Data Lake,D03,20/07/2019,3/12/2020,4373416
P097,Lotus CRM Revamp,D08,25/09/2023,Ongoing,3043071
P098,Astra CRM Revamp,D04,5/1/2022,12/17/2022,4833087
P099,Orion Cloud Re-arch,D03,2/11/2019,7/5/2020,4255564
P100,Lagaan Data Lake,D05,21/03/2019,9/10/2020,2041661
P101,Trident Data Lake,D01,20/04/2024,3/5/2025,4295109
P102,Astra CRM Revamp,D09,3/11/2018,8/1/2020,2401563
P103,Lotus Automation,D01,12/6/2023,12/25/2023,3997720
P104,Apollo Pricing Engine,D04,2/10/2018,Ongoing,3391838
P105,Synergy AI Pilot,D10,2/11/2024,4/16/2025,3350467
P106,Falcon Customer 360,D01,10/7/2023,Ongoing,3067488
P107,Trident AI Pilot,D07,20/08/2023,2/25/2025,3853800
P108,Voyager Cloud Re-arch,D08,8/6/2022,3/3/2023,3893757
P109,Aurora Automation,D07,1/12/2020,1/2/2022,3854775
P110,Nimbus Cloud Re-arch,D03,18/12/2021,Ongoing,630509
P111,Voyager Supply Chain,D07,14/07/2019,Ongoing,3359224
P112,Trident Cloud Re-arch,D08,12/8/2021,12/23/2022,3124713
P113,Lagaan Dashboard,D03,23/04/2019,2/6/2020,1039618
P114,Orion Cloud Re-arch,D10,12/7/2022,Ongoing,2749718
P115,Saffron Migration,D04,18/02/2021,Ongoing,3197862
P116,Lotus Market Expansion,D05,7/4/2018,12/13/2018,1408521
P117,Lagaan Market Expansion,D07,1/8/2019,Ongoing,503212
P118,Neptune Automation,D07,22/12/2020,8/28/2021,732131
P119,Neptune Dashboard,D07,11/7/2019,2/19/2020,976657
P120,Astra Payroll System,D08,17/10/2024,Ongoing,2160458
P121,Synergy Data Lake,D01,1/1/2018,Ongoing,1138093
P122,Astra Data Lake,D01,7/6/2020,Ongoing,3990513
P123,Zenith Data Lake,D04,11/10/2020,4/11/2022,2335647
P124,Astra Automation,D08,4/5/2020,Ongoing,825737
P125,Voyager Automation,D03,18/02/2021,Ongoing,4157892
P126,Karma Analytics Rollout,D07,16/11/2022,Ongoing,1904619
P127,Matrix Mobile App,D05,15/03/2023,7/23/2023,3387320
P128,Saffron Security Hardening,D03,6/8/2021,Ongoing,1394030
P129,Orion Cloud Re-arch,D10,6/10/2022,1/24/2023,4153980
P130,Neptune Supply Chain,D08,12/2/2020,9/27/2020,3861661
P131,Zenith Pricing Engine,D10,26/02/2019,Ongoing,3965461
P132,Astra Compliance,D04,12/2/2023,Ongoing,1829134
P133,Apollo Payroll System,D08,6/7/2022,6/19/2023,3181971
P134,Lagaan Payment Gateway,D04,16/01/2022,10/3/2022,3294937
P135,Matrix Compliance,D01,14/08/2020,8/18/2021,2243745
P136,Quantum Talent Suite,D08,5/1/2022,Ongoing,4285830
P137,Apollo Customer 360,D10,13/05/2018,12/5/2019,750139
P138,Saffron CRM Revamp,D07,9/11/2023,Ongoing,2465760
P139,Orion Vendor Portal,D06,14/07/2024,Ongoing,1000228
P140,Orion Payment Gateway,D03,16/04/2022,10/8/2022,2246197
P141,Quantum Talent Suite,D08,4/9/2024,4/13/2025,4707884
P142,Matrix Data Lake,D02,3/6/2019,4/30/2020,1278639
P143,Quantum ERP Upgrade,D02,24/01/2023,Ongoing,3991318
P144,Quantum Migration,D10,28/11/2022,Ongoing,2512191
P145,Synergy Payroll System,D06,23/01/2018,7/15/2018,2032239
P146,Quantum Data Lake,D03,26/07/2018,Ongoing,1105262
P147,Nimbus Data Lake,D04,21/06/2021,1/19/2023,2810317
P148,Falcon Payroll System,D04,16/03/2023,2/9/2025,4435806
P149,Trident Automation,D01,3/1/2022,10/22/2022,1210731
P150,Voyager Analytics Rollout,D05,23/04/2022,10/7/2022,4418139
P151,Karma Talent Suite,D04,6/4/2024,5/20/2025,2902112
P152,Lagaan Compliance,D07,9/7/2019,Ongoing,3735188
P153,Lagaan ERP Upgrade,D04,9/11/2023,7/21/2024,1854832
P154,Nimbus Data Lake,D02,24/06/2021,12/6/2022,3696776
P155,Trident ERP Upgrade,D02,3/11/2023,2/5/2025,2520991
P156,Quantum Customer 360,D10,27/12/2020,3/28/2022,4477912
P157,Orion Security Hardening,D08,11/8/2020,5/22/2021,2593787
P158,Neptune Automation,D04,12/12/2018,6/26/2020,1522805
P159,Saffron Cloud Re-arch,D06,15/08/2024,12/12/2025,1444793
P160,Apollo Migration,D07,13/06/2024,Ongoing,3121485
P161,Saffron Supply Chain,D03,26/07/2018,Ongoing,2080622
P162,Voyager Customer 360,D03,4/4/2019,10/28/2020,4425413
P163,Aurora Talent Suite,D03,16/01/2019,2/20/2020,1411508
P164,Aurora AI Pilot,D09,20/08/2019,Ongoing,2227373
P165,Veda Automation,D07,2/11/2021,5/19/2022,4320673
P166,Astra Security Hardening,D02,5/5/2022,12/22/2023,640926
P167,Veda Security Hardening,D04,21/05/2018,7/3/2019,683148
P168,Veda Payroll System,D10,5/10/2018,12/18/2019,1343382
P169,Voyager Supply Chain,D06,3/8/2022,11/14/2023,3269861
P170,Matrix Dashboard,D07,8/12/2020,Ongoing,994496
P171,Falcon Payment Gateway,D06,19/06/2022,Ongoing,4713759
P172,Voyager Talent Suite,D04,19/11/2024,Ongoing,882605
P173,Neptune Payroll System,D04,16/04/2019,8/3/2019,1447719
P174,Lagaan Mobile App,D06,20/03/2021,12/11/2022,3255916
P175,Trident Payroll System,D08,3/5/2023,2/14/2024,4862636
P176,Voyager Supply Chain,D05,16/01/2024,4/18/2024,3746375
P177,Orion Payroll System,D06,5/9/2021,Ongoing,4235658
P178,Falcon Talent Suite,D06,7/9/2022,Ongoing,4381819
P179,Lotus Payroll System,D04,24/05/2018,3/9/2019,1332441
P180,Lagaan Compliance,D09,14/07/2019,Ongoing,4280895
P181,Zenith Payment Gateway,D01,10/3/2019,8/12/2020,4962028
P182,Orion Cloud Re-arch,D02,15/03/2024,Ongoing,1401334
P183,Karma Payroll System,D09,4/6/2021,Ongoing,2243579
P184,Aurora Dashboard,D08,15/10/2023,9/4/2025,627319
P185,Astra ERP Upgrade,D03,28/01/2018,8/29/2019,1012193
P186,Voyager Talent Suite,D06,13/12/2024,6/13/2025,2027965
P187,Astra Payroll System,D03,21/01/2024,11/20/2025,4801264
P188,Nimbus Vendor Portal,D10,23/12/2018,Ongoing,539015
P189,Quantum Data Lake,D08,4/3/2019,1/28/2020,1228165
P190,Orion Supply Chain,D02,14/02/2020,7/24/2020,1432478
P191,Saffron Analytics Rollout,D08,14/09/2018,Ongoing,3074660
P192,Voyager Analytics Rollout,D07,27/02/2024,11/5/2024,2334927
P193,Aurora AI Pilot,D02,21/01/2019,Ongoing,1433671
P194,Nimbus AI Pilot,D01,2/1/2021,11/26/2021,3951020
P195,Voyager Vendor Portal,D03,13/06/2020,Ongoing,3324665
P196,Apollo Vendor Portal,D07,16/05/2024,10/12/2025,3506374
P197,Quantum CRM Revamp,D09,2/10/2019,8/18/2021,2421086
P198,Apollo Supply Chain,D08,19/02/2023,Ongoing,4814198
P199,Karma Pricing Engine,D09,18/03/2019,3/30/2020,3187279
P200,Mercury Supply Chain,D05,6/7/2022,Ongoing,1578332
